No.,所属,母優,馬名,募集馬名,父名,"2023年
種付け料","2025年
種付け料",母父,性,色付け,毛色,生年月日,募集価格,価格帯,厩舎,提供牧場,生産牧場,育成牧場,体高,胸囲,管囲,馬体重,"8月中旬
馬体重","バッタさん
予測馬体重",母成績,国内/海外,母の生産国,母の現役時所属,主な勝ち鞍,クラス,産齢,出産,セール出身,コメント,手術歴・癖,インブリード,抽選ステージ,母優無当選率,1次募集残口,人気ランク,馬名の由来,育成移動,外厩移動,"9/30
馬体重","10/31
馬体重","11/28
馬体重","1/15
馬体重","2/15
馬体重","3/15
馬体重","4/15
馬体重","10/31
坂路","11/28
坂路","12/26
坂路","01/15
坂路","01/31
坂路","02/15
坂路","02/28
坂路","03/15
坂路","03/31
坂路","04/15
坂路","04/30
坂路","9/30
体重差分","10/31
体重差分","11/28
体重差分","03/15
体重差分",No.募集馬名
13,1.関東,1.有,ウラノグラフィア,リュラの24,ナダル,350,"1,000",ステイゴールド,1.牡,1.有1.牡,鹿,04/18,"5,000",5000,宮田敬介,ノーザンF,ノーザンF,ＮＦ空港,157,176,20,450,460,505,5戦0勝,国内,日本,キャロット,なし,1.未勝利馬,11,連産3,,,,"Northern Dancer 5×5, Mr. Prospector 5×5",D.一般抽選,20.6%,満口,41,こと座が描かれた星図。母名より連想,2025/09/29 ,,483,480,495,485,,,,,18,16-18,16-17,,,,,,,,33,30,45,,13.リュラの24
14,1.関東,1.有,ピウモッソ,エスティタートの24,ナダル,350,"1,000",ドリームジャーニー,2.牝,1.有2.牝,鹿,01/27,"3,600",3000,斎藤誠,白老F,白老F,ＮＦ空港,155.5,177,19.7,475,476,483,24戦5勝,国内,日本,キャロット,GⅢ2着シルクロードS芝1200m,3.オープン馬,11,連産5,,,,"Special 5×5, Mr. Prospector 5×5",D.一般抽選,25.3%,満口,47,もっと速く（音楽用語）。母名より連想,2025/09/03 ,,455,449,447,460,,,,,17-18,17-18,17-18,,,,,,,,-20,-26,-28,,14.エスティタートの24
15,1.関東,2.無,パパコレア,フォルステライトの24,ナダル,350,"1,000",キングカメハメハ,2.牝,2.無2.牝,鹿,02/07,"3,200",3000,村田一誠,ノーザンF,ノーザンF,ＮＦ空港,152,175,19.6,423,422,435,17戦2勝(中央0勝),国内,日本,サンデー,地方2勝,2.条件馬,7,初仔,,,,Mr. Prospector 5×5×4,E.一般当選,100.0%,101以上,91,ハワイにあるビーチ名。鉱物により砂が緑色をしている。母名より連想,2025/10/08 ,,429,418,424,420,,,,,,18,17-18,,,,,,,,6,-5,1,,15.フォルステライトの24
16,1.関東,1.有,コルシャヴィート,ケイティーズハートの24,モーリス,800,800,ハーツクライ,1.牡,1.有1.牡,鹿,03/26,"8,000",8000,森一誠,ノーザンF,ノーザンF,ＮＦ早来,155,179.5,21,508,524,541,15戦3勝,国内,日本,キャロット,1勝クラスダート1800m,2.条件馬,15,連産9,,,,"サンデーサイレンス 4×3, Lyphard 5×5",D.一般抽選,0.0%,満口,26,彗星の歌声（ヘブライ語）。額の流星より連想,2025/09/09 ,,498,516,529,537,,,,17-20,16-18,15-18,15-16,,,,,,,,-10,8,21,,16.ケイティーズハートの24
17,1.関東,1.有,プルヴィナル,クルミナルの24,モーリス,800,800,ディープインパクト,2.牝,1.有2.牝,黒鹿,02/01,"5,000",5000,栗田徹,ノーザンF,ノーザンF,ＮＦ空港,158,181,20,468,464,474,5戦2勝,国内,日本,キャロット,GⅠ2着桜花賞芝1600m,3.オープン馬,12,空胎明け,,,,"サンデーサイレンス 4×3, Lyphard 5×5×5",D.一般抽選,8.5%,満口,30,神々の座所（ラテン語）。競馬界の頂点に座るよう願い。母名より連想,2025/09/02 ,,458,440,444,462,,,,18-20,18,17-18,16-17,,,,,,,,-10,-28,-24,,17.クルミナルの24
18,1.関東,1.有,ダイアナマリア,マリアライトの24,モーリス,800,800,ディープインパクト,2.牝,1.有2.牝,黒鹿,04/24,"6,000",6000,久保田貴士,ノーザンF,ノーザンF,ＮＦ早来,152,173.5,19,421,417,456,20戦6勝,国内,日本,キャロット,GⅠ2勝宝塚記念、エリザベス女王杯,5.GⅠ勝ち馬,13,連産4,,,,"サンデーサイレンス 4×3, Sadler's Wells 4×5, Riverman 5×4, Lyphard 5×5",D.一般抽選,50.0%,満口,58,イギリスにあるフローライトの発掘で有名な鉱山の名前。母名より連想,2025/10/06 ,,432,443,422,416,,,,,18-20,17-19,16-18,,,,,,,,11,22,1,,18.マリアライトの24
19,1.関東,1.有,オーソロンビック,エリスライトの24,レイデオロ,700,250,ディープインパクト,1.牡,1.有1.牡,鹿,04/02,"4,000",4000,斎藤誠,ノーザンF,ノーザンF,ＮＦ早来,152,172.5,20.8,425,431,476,12戦2勝,国内,日本,キャロット,1勝クラス特別戦芝1800m,2.条件馬,9,連産3,,,,"ウインドインハーヘア 4×3, Kingmambo 3×4, Mr. Prospector 4×5×5",B.×1抽選,42.9%,満口,5,直方晶系。結晶構造の分類の1つ。母名より連想,2025/10/08 ,,443,419,445,457,,,,,,18-20,18,,,,,,,,18,-6,20,,19.エリスライトの24
20,1.関東,1.有,カーリーウィップ,バウンスシャッセの24,レイデオロ,700,250,ゼンノロブロイ,2.牝,1.有2.牝,黒鹿,05/05,"3,600",3000,奥村武,ノーザンF,ノーザンF,ＮＦ空港,155,175,20,412,413,454,16戦5勝,国内,日本,キャロット,GⅢ3勝愛知杯、中山牝馬S、フラワーC,4.GⅡGⅢ勝ち馬（地方重賞含む）,13,連産7,,,,Mr. Prospector 4×5×5,E.一般当選,100.0%,101以上,84,社交ダンスのステップの1つ。母名より連想,2025/10/01 ,,429,420,424,433,,,,,17-18,16-18,16-17,,,,,,,,17,8,12,,20.バウンスシャッセの24
21,1.関東,2.無,ボーヴァン,ボージェストの24,ドレフォン,700,500,キングカメハメハ,1.牡,2.無1.牡,栗,03/21,"4,000",4000,田村康仁,ノーザンF,ノーザンF,ＮＦ空港,152.5,176,20,449,441,489,11戦2勝,国内,日本,吉田勝己,1勝クラスダート1600m,2.条件馬,13,連産8,,,,"Mr. Prospector 5×4, Raise a Native 5×5",C.×0抽選,30.0%,満口,11,良い風（仏）。父名、母名より連想,2025/09/03 ,,453,460,469,480,,,,18-20,17-18,17,16-17,,,,,,,,4,11,20,,21.ボージェストの24
22,1.関東,2.無,ミラージュスター,ターシャズスターの24,ドレフォン,700,500,Spanish Steps,2.牝,2.無2.牝,鹿,01/22,"3,600",3000,武井亮,ノーザンF,ノーザンF,ＮＦ空港,159,176,19.8,474,468,484,5戦1勝,海外,アメリカ,海外馬主,不明（新馬戦か未勝利戦の1勝と推定）,2.条件馬,18,空胎明け,,確定版で追加,右飛節OCD除去手術（2025/1/30）,"Relaunch 5×3, Raise a Native 5×5, Mr. Propector 5×5",D.一般抽選,35.6%,満口,55,幻想＋星。幻想的な星をイメージして。母名より連想,2025/10/23 ,,477,480,484,476,,,,,20,17-18,17,,,,,,,,3,6,10,,22.ターシャズスターの24
23,1.関東,1.有,カリーナネビュラ,ゴールドティアの24,ドレフォン,700,500,キングカメハメハ,2.牝,1.有2.牝,栗,02/03,"3,200",3000,武藤善則,ノーザンF,ノーザンF,ＮＦ空港,152,173.5,19,437,445,447,20戦3勝,国内,日本,キャロット,2勝クラス特別戦ダート1700m,2.条件馬,7,初仔,,,,"Mr. Prospector 5×4, Northern Dancer 5×5, Raise a Native 5×5",D.一般抽選,76.5%,満口,63,カリーナ星雲。最も明るいと言われている星雲。母名より連想,2025/09/16 ,,460,440,435,430,,,,18-20,17-18,16-18,16-17,,,,,,,,23,3,-2,,23.ゴールドティアの24
24,1.関東,2.無,ラディオーサ,アシュリンの24,ヴァンゴッホ,180,180,マンハッタンカフェ,2.牝,2.無2.牝,鹿,02/25,"2,800",2000,勢司和浩,ノーザンF,ノーザンF,ＮＦ空港,154,177.5,19.8,447,454,460,13戦3勝,国内,日本,吉田和美,2勝クラス特別戦芝2000m,2.条件馬,9,連産3,,,,Mr. Prospector 4×5,E.一般当選,100.0%,5,70,輝かしい､光り輝く（伊）。輝く舞台での活躍を願って,2025/09/03 ,,445,451,448,472,,,,,17-18,マシン調整,マシン調整,,,,,,,,-2,4,1,,24.アシュリンの24
25,1.関東,1.有,ゴレスターン,アーズローヴァーの24,アルアイン,150,80,キンシャサノキセキ,1.牡,1.有1.牡,黒鹿,03/07,"2,800",2000,稲垣幸雄,ノーザンF,ノーザンF,ＮＦ空港,154,175.5,20,432,442,471,24戦3勝,国内,日本,キャロット,2勝クラス特別戦芝1200m,2.条件馬,8,連産2,,,,"サンデーサイレンス 3×4, Lady Berry 5×5, His Mahesty 5×5, Lyphard 5×5",D.一般抽選,20.0%,満口,40,バラの園（ペルシア語）、イランの宮殿名より。父名、母名より連想,2025/09/30 ,,444,446,452,470,,,,,18-20,17-18,17,,,,,,,,12,14,20,,25.アーズローヴァーの24
26,1.関東,1.有,ピュールオンド,ピュアブリーゼの24,アルアイン,150,80,Monsun,2.牝,1.有2.牝,鹿,01/30,"2,000",2000,和田正一郎,ノーザンF,ノーザンF,ＮＦ早来,161,175.5,19.5,453,460,468,23戦1勝,国内,日本,キャロット,GⅠ2着オークス芝2400m,2.条件馬,16,空胎明け,,,,ー,E.一般当選,100.0%,101以上,83,純粋な波（仏）。母名、父名より連想,2025/09/25 ,,472,446,451,445,,,,,17-18,17,軽めの運動,,,,,,,,19,-7,-2,,26.ピュアブリーゼの24
27,1.関東,1.有,エウゲニオス,ローズノーブルの24,エフフォーリア,300,400,ディープインパクト,1.牡,1.有1.牡,青鹿,04/08,"5,000",5000,鹿戸雄一,ノーザンF,ノーザンF,ＮＦ早来,156,174.5,21.4,465,467,516,22戦4勝,国内,日本,キャロット,2勝クラス特別戦芝1500m,2.条件馬,15,連産5,,,さく癖,サンデーサイレンス 5×4×3,A.×2抽選,92.9%,満口,3,ギリシャ語で高貴な生まれを意味する人名より。父名、母名より連想,2025/09/04 ,,444,475,489,484,,,,17-20,16-18,16-17,軽めの運動,,,,,,,,-21,10,24,,27.ローズノーブルの24
28,1.関東,2.無,パンジュアーブ,マハーバーラタの24,エフフォーリア,300,400,ディープインパクト,2.牝,2.無2.牝,鹿,03/24,"2,800",2000,深山雅史,ノーザンF,ノーザンF,ＮＦ空港,151,169,18.8,406,412,436,5戦1勝,国内,日本,吉田和美,未勝利戦ダート1700m,2.条件馬,16,連産5,,,さく癖,サンデーサイレンス 5×4×3,E.一般当選,100.0%,101以上,85,５つの水(ペルシア語）。インダス川へと注ぐ５つの大河を示す,2025/09/16 ,,431,436,426,434,,,,,18,17-18,17,,,,,,,,25,30,20,,28.マハーバーラタの24
29,1.関東,1.有,オーディンスピア,ヴァルキュリアの24,クリソベリル,300,250,Tapit,1.牡,1.有1.牡,鹿,02/08,"4,000",4000,高柳瑞樹,ノーザンF,ノーザンF,ＮＦ早来,149.5,172.5,20.3,428,437,458,12戦4勝,国内,日本,キャロット,3勝クラス特別戦ダート1400m,3.オープン馬,7,初仔,,,,"Mr. Prospector 5×5×5, Northern Dancer 5×5",D.一般抽選,14.6%,満口,35,北欧神話オーディンの槍。母名より連想,2025/09/25 ,,453,444,452,456,,,,20,16-18,16-17,16,,,,,,,,25,16,24,,29.ヴァルキュリアの24
30,1.関東,1.有,#N/A,レオパルディナの24,クリソベリル,300,250,スニッツェル,2.牝,1.有2.牝,鹿,01/24,"2,800",2000,嘉藤貴行,ノーザンF,白老F,ＮＦ空港,156.5,172,19.8,452,467,463,22戦2勝,国内,日本,キャロット,フェニックス賞芝1200m,2.条件馬,12,連産6,,,,Mr. Prospector 5×4,E.一般当選,100.0%,101以上,79,#N/A,,,461,470,469,,,,,,蹄関節炎,募集中止,,,,,,,,,9,18,17,,30.レオパルディナの24
31,1.関東,1.有,ペントザリス,パドゥヴァルスの24,サリオス,150,200,エピファネイア,1.牡,1.有1.牡,鹿,02/01,"3,200",3000,戸田博文,ノーザンF,白老F,ＮＦ空港,158.5,180,20.7,536,546,552,4戦2勝,国内,日本,キャロット,1勝クラス芝1600m,2.条件馬,7,連産3,,,,"サンデーサイレンス 3×5×4, Sadler's Wells 5×5",D.一般抽選,4.7%,満口,28,ギリシャのクレタ島に伝わる戦士の踊り。父名、母名より連想,2025/09/02 ,,538,505,518,528,,,,18-20,17-18,17-18,17,,,,,,,,2,-31,-18,,31.パドゥヴァルスの24
32,1.関東,1.有,アプローズギフト,シーズンズギフトの24,サリオス,150,200,エピファネイア,2.牝,1.有2.牝,黒鹿,01/15,"3,200",3000,森一誠,ノーザンF,ノーザンF,ＮＦ空港,152.5,180.5,19.1,476,483,474,16戦2勝,国内,日本,キャロット,GⅢ2着ニュージーランドT芝1600m,3.オープン馬,7,初仔,,,,サンデーサイレンス 3×5×4,D.一般抽選,1.2%,満口,27,拍手喝采＋贈り物。観客から贈られる拍手喝采を願って。母名より連想,2025/09/03 ,,467,480,473,480,,,,18-20,17-18,16-18,ハ行,,,,,,,,-9,4,-3,,32.シーズンズギフトの24
33,1.関東,2.無,エクラドリオン,レーヴディソールの24,リオンディーズ,400,400,アグネスタキオン,1.牡,2.無1.牡,鹿,03/25,"3,600",3000,中舘英二,ノーザンF,ノーザンF,ＮＦ早来,151,168.5,20,413,427,464,6戦4勝,国内,日本,サンデー,GⅠ阪神JF芝1600m,5.GⅠ勝ち馬,16,連産4,,,左後膝感染性関節炎により関節洗浄（2024/11/3）,サンデーサイレンス 4×3,D.一般抽選,84.6%,満口,66,獅子の輝き（仏）。獅子の強さと気高さをイメージして。父名より連想,2025/09/18 ,,440,451,463,458,,,,,17-19,16-17,15-16,,,,,,,,27,38,50,,33.レーヴディソールの24
34,1.関東,2.無,レナセール,クレアドールの24,リオンディーズ,400,400,ハーツクライ,2.牝,2.無2.牝,黒鹿,03/31,"2,800",2000,千葉直人,ノーザンF,ハシモトF,ＮＦ早来,154.5,173,20,430,432,461,36戦4勝(中央2勝),国内,日本,サンデー,1勝クラスダート1200m,2.条件馬,13,連産4,,,,"サンデーサイレンス 4×3, Nureyev 5×3, Northern Dancer 5×4, Nearctic 5×5",D.一般抽選,25.9%,満口,49,新たな始まり（西）。母名より連想,2025/09/23 ,,437,446,456,445,,,,18-20,17-19,16-17,16-17,,,,,,,,7,16,26,,34.クレアドールの24
35,1.関東,1.有,マーズウェーブ,アンフィトリテの24,アドマイヤマーズ,250,500,ロードカナロア,1.牡,1.有1.牡,鹿,04/02,"5,000",5000,辻哲英,ノーザンF,ノーザンF,ＮＦ早来,157.5,172.5,20.3,419,449,478,8戦3勝,国内,日本,キャロット,マーガレットS芝1200m,3.オープン馬,9,連産4,,,,"サンデーサイレンス 3×4, Mr. Prospector 5×5, Storm Bird 5×5",D.一般抽選,17.3%,満口,38,火星大気の波動。両親から火星の表面に点在する波紋をイメージして,2025/10/01 ,,456,461,482,481,,,,,17-19,16-19,16-18,,,,,,,,37,42,63,,35.アンフィトリテの24
36,1.関東,1.有,ファインハイト,クルークハイトの24,オルフェーヴル,350,350,クロフネ,2.牝,1.有2.牝,栗,02/09,"3,600",3000,萩原清,ノーザンF,ノーザンF,ＮＦ早来,157,179,19.5,463,473,473,28戦5勝,国内,日本,キャロット,3勝クラスダート1700m,3.オープン馬,10,連産2,,,,"サンデーサイレンス 3×4, ノーザンテースト 5×4",C.×0抽選,100.0%,満口,23,精巧さ（独）。父名、母名より連想,2025/09/08 ,,476,431,426,423,,,,17-18,17-18,15-18,17-18,,,,,,,,13,-32,-37,,36.クルークハイトの24
37,1.関東,2.無,シエロブリジャンテ,ライジングクロスの24,サトノダイヤモンド,250,100,Cape Cross,2.牝,2.無2.牝,鹿,05/15,"3,200",3000,宮田敬介,ノーザンF,坂東牧場,ＮＦ空港,147.5,167,19.1,375,378,415,32戦5勝,海外,イギリス,海外馬主,GⅡパークヒルS芝2900m、GⅠ2着英オークス芝2400m,4.GⅡGⅢ勝ち馬（地方重賞含む）,21,連産5,,,右後第1趾骨骨折により骨片除去手術（2025/1/10）,"Halo 4×5, Danzig 5×4, Busted 5×5",E.一般当選,100.0%,22,74,輝く天空（西）。母名より連想,2025/10/02 ,,401,415,417,430,,,,,20,17-18,17,,,,,,,,26,40,42,,37.ライジングクロスの24
38,1.関東,1.有,ブルージェイ,ネオフレグランスの24,シスキン,250,300,ネオユニヴァース,1.牡,1.有1.牡,黒鹿,04/14,"4,000",4000,加藤征弘,ノーザンF,白老F,ＮＦ早来,148.5,167,20,410,426,460,13戦3勝,国内,日本,キャロット,2勝クラス特別戦芝1200m,2.条件馬,11,連産5,,,,ー,D.一般抽選,4.8%,満口,29,アオカケス。知性と勇気の象徴とされている鳥。父名より連想,2025/10/09 ,,416,433,439,448,,,,,18-20,18-19,18,,,,,,,,6,23,29,,38.ネオフレグランスの24
39,1.関東,2.無,ジャロロッソ,レッチェバロックの24,シルバーステート,600,500,Uncle Mo,1.牡,2.無1.牡,鹿,03/30,"4,000",4000,上原佑紀,ノーザンF,ノーザンF,ＮＦ早来,151,171.5,20.8,426,436,475,10戦2勝,国内,日本,吉田和美,1勝クラスダート1400m,2.条件馬,7,連産2,,,,Hail to Reason 5×5,D.一般抽選,83.3%,満口,65,黄と赤（伊）。イタリア都市レッチェのシンボルカラー。母名より連想,2025/09/09 ,,446,435,444,442,,,,18-20,17-20,15-18,16-18,,,,,,,,20,9,18,,39.レッチェバロックの24
40,1.関東,2.無,ゼットターム,ファシネートゼットの24,ニューイヤーズデイ,250,200,ヘニーヒューズ,1.牡,2.無1.牡,鹿,03/24,"4,000",4000,林徹,ノーザンF,ノーザンF,ＮＦ空港,152,172,20.8,434,433,480,25戦4勝,国内,日本,吉田和美,3勝クラス特別戦ダート1400m,3.オープン馬,7,初仔,,,,Halo 5×5,D.一般抽選,38.5%,満口,56,Z項。母名由来の水沢天文台のZ項より,2025/09/29 ,,454,455,450,463,,,,,18-20,17-18,16-17,,,,,,,,20,21,16,,40.ファシネートゼットの24
41,1.関東,1.有,ホールノート,マイティースルーの24,フィエールマン,200,150,クロフネ,2.牝,1.有2.牝,芦,01/28,"3,000",3000,尾関知人,ノーザンF,ノーザンF,ＮＦ早来,156,178,19.8,453,446,461,27戦4勝,国内,日本,キャロット,2勝クラス特別戦芝1800m,2.条件馬,18,空胎明け,,,,Mr. Prospector 5×4,C.×0抽選,11.1%,満口,10,全音符。父名より連想。長く活躍することを願って,2025/09/01 ,,458,448,428,435,,,,16-17,16-18,15-18,16-18,,,,,,,,5,-5,-25,,41.マイティースルーの24
42,1.関東,1.有,イシュバランケ,エルカスティージョの24,ポエティックフレア,500,Private,ロードカナロア,1.牡,1.有1.牡,黒鹿,01/18,"4,000",4000,大和田成,ノーザンF,ノーザンF,ＮＦ早来,156.5,173.5,20.5,422,430,459,12戦4勝,国内,日本,キャロット,3勝クラス特別戦芝1400m,3.オープン馬,6,初仔,,,,ー,D.一般抽選,13.4%,満口,33,マヤ神話に登場する双子の神の片方。母名より連想,2025/09/17 ,,437,435,441,420,,,,,17-19,18,17-18,,,,,,,,15,13,19,,42.エルカスティージョの24
43,1.関東,1.有,ベルグラース,ベルディーヴァの24,マインドユアビスケッツ,400,200,ダイワメジャー,2.牝,1.有2.牝,栗,04/29,"3,000",3000,浅利英明,ノーザンF,ノーザンF,ＮＦ空港,156,175,19.6,430,438,470,16戦3勝,国内,日本,キャロット,2勝クラス芝1200m,2.条件馬,12,連産6,,,,"Rahy/Morn of Song 4×3, Northern Dancer 5×4, Halo 4×5, Deputy Minister 4×5, Hail to Reason 5×5",D.一般抽選,60.4%,満口,61,美しい優雅さ（仏）。母名より連想,2025/09/02 ,,436,465,478,502,,,,18-20,17-18,16-18,16-17,,,,,,,,6,35,48,,43.ベルディーヴァの24
44,1.関東,1.有,グルドロッティン,ブロンディーヴァの24,ルーラーシップ,350,400,スマートファルコン,1.牡,1.有1.牡,鹿,01/28,"3,200",3000,矢嶋大樹,ノーザンF,ノーザンF,ＮＦ空港,155,176,21.5,469,482,496,24戦5勝(中央0勝),国内,日本,キャロット,(地方重賞)ローレル賞ダート1600m,4.GⅡGⅢ勝ち馬（地方重賞含む）,7,初仔,,,,"サンデーサイレンス 4×4, ノーザンテースト 4×5, Nureyev 5×5",D.一般抽選,9.8%,満口,32,黄金（アイスランド語）＋支配者（アイスランド語）。両親名より連想,2025/09/02 ,,470,480,478,484,,,,20,18-20,16-17,16-17,,,,,,,,1,11,9,,44.ブロンディーヴァの24
